user_id,t_rec,algorithm,n_items_session,gh_session
8,2019-05-07 17:34:24.183316+00:00,knni,16,0.7135416666666665
8,2019-05-07 17:43:06.344822+00:00,knni,7,0.24285714285714283
9,2019-05-07 17:42:29.597890+00:00,knni,4,0.16666666666666666
10,2019-05-07 17:34:13.279216+00:00,knni,10,0.5983333333333334
11,2019-05-07 17:36:28.374048+00:00,knni,18,0.9574074074074073
11,2019-05-07 17:44:57.198524+00:00,knni,17,0.8637254901960782
11,2019-05-07 18:00:07.839582+00:00,knni,10,0.4383333333333333
12,2019-05-07 17:34:52.969776+00:00,knni,20,1.045
12,2019-05-07 18:00:07.905159+00:00,knni,2,0.0
12,2019-05-25 23:15:44.462010+00:00,knni,3,0.16666666666666666
12,2019-06-17 12:54:48.362152+00:00,knni,3,0.0
12,2019-06-21 19:45:54.232041+00:00,knni,3,0.0
13,2019-05-07 17:35:34.038082+00:00,knni,10,0.5816666666666668
13,2019-05-07 18:00:15.133841+00:00,knni,8,0.22916666666666669
13,2019-05-27 14:22:54.290244+00:00,knni,9,0.5351851851851851
14,2019-05-07 17:44:52.221334+00:00,knni,8,0.35000000000000003
14,2019-05-07 18:00:07.938129+00:00,knni,5,0.16666666666666666
14,2019-07-03 13:49:09.983567+00:00,knni,7,0.2670068027210884
16,2019-05-07 17:34:24.108498+00:00,svd,4,0.20833333333333331
21,2019-06-26 22:27:47.968227+00:00,knni,3,0.0
29,2019-05-27 14:22:12.610744+00:00,knnu,18,0.7283068783068782
30,2019-05-27 14:26:41.418355+00:00,knni,9,0.24444444444444446
31,2019-05-27 14:21:32.083856+00:00,svd,15,0.7755555555555556
32,2019-05-27 14:22:38.035364+00:00,knnu td,6,0.2988095238095238
37,2019-05-29 13:33:02.967806+00:00,svd mmr,4,0.0
39,2019-05-29 16:39:08.245651+00:00,knni,4,0.05
42,2019-05-29 14:17:08.667607+00:00,knni td,3,0.0
44,2019-05-29 14:09:31.049581+00:00,knnu mmr,2,0.125
47,2019-05-29 14:49:17.374490+00:00,knnu,2,0.0
50,2019-05-29 15:10:36.367080+00:00,knnu td,4,0.0625
52,2019-05-29 15:31:35.222248+00:00,svd td,3,0.19444444444444442
52,2019-05-29 15:35:29.021495+00:00,svd td,2,0.16666666666666666
53,2019-05-29 15:40:19.827754+00:00,knnu mmr,5,0.1
56,2019-05-29 16:18:29.148233+00:00,knnu,5,0.36666666666666664
56,2019-05-29 16:23:22.305351+00:00,knnu,4,0.0
57,2019-05-29 16:15:05.675859+00:00,knni,6,0.1722222222222222
67,2019-05-29 18:59:30.217963+00:00,svd,20,1.2908333333333333
78,2019-06-21 20:37:20.496202+00:00,knni td,4,0.2875
78,2019-06-21 20:44:16.633862+00:00,knni td,4,0.19166666666666665
81,2019-06-20 01:26:19.583671+00:00,knni mmr,2,0.16666666666666666
84,2019-05-31 14:02:15.803505+00:00,knni,12,0.6513888888888889
87,2019-06-20 21:25:47.096371+00:00,knni td,4,0.05
92,2019-06-02 05:58:49.907039+00:00,knnu,5,0.15857142857142859
100,2019-06-26 13:36:16.108632+00:00,svd mmr,6,0.09953703703703703
101,2019-06-03 19:49:06.807135+00:00,knnu,4,0.3625
102,2019-06-03 21:11:01.540180+00:00,knni,7,0.12755102040816327
103,2019-06-03 21:19:05.566713+00:00,svd,6,0.5773809523809524
106,2019-06-19 17:35:19.972692+00:00,svd td,7,0.2714285714285714
108,2019-06-17 04:23:34.968367+00:00,knni mmr,3,0.08928571428571429
111,2019-06-17 17:39:35.181461+00:00,svd mmr,6,0.11666666666666665
111,2019-06-18 20:29:31.834689+00:00,svd mmr,2,0.0
111,2019-06-18 20:50:14.894532+00:00,svd mmr,2,0.0
130,2019-06-18 20:52:18.426318+00:00,knnu,20,0.9822619047619048
130,2019-06-18 20:55:22.429154+00:00,knnu,20,1.1914087301587302
130,2019-06-18 20:58:27.698853+00:00,knnu,20,0.9916666666666665
132,2019-06-19 14:52:51.138500+00:00,knni,5,0.10666666666666666
134,2019-06-19 14:59:56.949978+00:00,knnu td,12,0.5363095238095238
135,2019-06-19 15:07:57.698029+00:00,knni td,15,0.6195238095238095
136,2019-06-19 15:13:23.166433+00:00,svd td,4,0.0625
136,2019-06-19 15:17:48.766891+00:00,svd td,2,0.0
136,2019-06-19 15:23:17.802298+00:00,svd td,3,0.1111111111111111
137,2019-06-19 15:44:53.201390+00:00,knnu mmr,3,0.1111111111111111
139,2019-06-19 16:46:51.910213+00:00,svd mmr,4,0.125
140,2019-06-19 19:11:16.559522+00:00,knnu,20,1.087202380952381
140,2019-06-19 19:13:53.641572+00:00,knnu,20,0.8935714285714285
140,2019-06-19 19:17:05.266899+00:00,knnu,14,0.7130102040816325
141,2019-06-19 16:51:59.244540+00:00,knni,7,0.2952380952380952
142,2019-06-19 16:55:19.615535+00:00,svd,20,0.9596031746031747
142,2019-06-19 23:53:59.491984+00:00,svd,9,0.3612433862433862
143,2019-06-19 17:04:51.790844+00:00,knnu td,11,0.6653679653679654
145,2019-06-19 18:04:16.161975+00:00,svd td,8,0.40625
147,2019-06-19 18:53:30.767067+00:00,knni mmr,4,0.0
147,2019-06-19 18:59:28.781946+00:00,knni mmr,2,0.0
148,2019-06-19 20:54:10.420396+00:00,svd mmr,8,0.34553571428571433
149,2019-06-19 23:25:50.153210+00:00,knnu,10,0.6283333333333332
149,2019-06-19 23:33:12.622982+00:00,knnu,8,0.65
151,2019-06-20 13:00:08.782360+00:00,svd,10,0.6683333333333333
152,2019-06-20 14:50:24.191526+00:00,knnu td,14,0.45714285714285713
153,2019-06-20 18:35:37.789239+00:00,knni td,16,0.870907738095238
153,2019-06-20 18:42:04.036301+00:00,knni td,3,0.06666666666666667
154,2019-06-20 18:52:16.405527+00:00,svd td,3,0.0
154,2019-06-20 18:58:33.509693+00:00,svd td,3,0.0
154,2019-06-20 19:03:23.424032+00:00,svd td,3,0.0
154,2019-06-21 18:10:09.914393+00:00,svd td,8,0.5607233044733044
154,2019-06-21 18:16:48.803822+00:00,svd td,9,0.44179894179894175
155,2019-06-25 02:15:51.299288+00:00,knnu mmr,3,0.0
156,2019-06-20 21:58:19.496022+00:00,knni mmr,4,0.0
156,2019-06-20 22:02:56.573082+00:00,knni mmr,5,0.06666666666666667
156,2019-06-20 22:06:40.056743+00:00,knni mmr,5,0.16
157,2019-06-21 00:02:30.061696+00:00,svd mmr,7,0.2833333333333333
159,2019-06-21 00:01:22.482409+00:00,knni,20,0.906984126984127
160,2019-06-21 00:09:51.604749+00:00,svd,6,0.5013227513227513
161,2019-06-21 00:28:20.790756+00:00,knnu td,4,0.0
161,2019-06-21 00:32:15.046448+00:00,knnu td,5,0.15
161,2019-06-21 00:34:04.638348+00:00,knnu td,2,0.25
161,2019-06-21 00:35:33.062903+00:00,knnu td,3,0.0
162,2019-06-21 00:37:40.116830+00:00,knni td,5,0.1488095238095238
163,2019-06-21 00:48:53.403846+00:00,svd td,6,0.36944444444444446
163,2019-06-21 00:52:51.506832+00:00,svd td,7,0.372562358276644
164,2019-06-21 00:45:49.250975+00:00,knnu mmr,7,0.3190476190476191
165,2019-06-21 01:06:54.040725+00:00,knni mmr,5,0.07333333333333333
166,2019-06-21 01:21:43.813398+00:00,svd mmr,3,0.0
166,2019-06-21 01:25:10.499840+00:00,svd mmr,5,0.2
166,2019-06-21 01:30:56.683623+00:00,svd mmr,3,0.14814814814814814
166,2019-06-21 02:09:04.619121+00:00,svd mmr,4,0.16666666666666666
167,2019-06-21 01:27:59.596430+00:00,knnu,2,0.0
169,2019-06-21 01:42:08.122320+00:00,svd,19,0.8708228905597327
170,2019-06-21 01:37:15.966921+00:00,knnu td,10,0.7986904761904763
170,2019-06-21 01:41:15.112502+00:00,knnu td,11,0.6306998556998556
170,2019-06-21 01:45:17.357386+00:00,knnu td,7,0.20238095238095236
170,2019-06-21 01:49:20.737816+00:00,knnu td,12,0.6124999999999999
170,2019-06-21 01:54:56.229208+00:00,knnu td,15,1.1045238095238095
175,2019-06-21 09:05:52.397095+00:00,svd mmr,4,0.05
177,2019-06-21 12:10:56.317515+00:00,knni,3,0.08333333333333333
178,2019-06-21 13:42:10.387288+00:00,svd,11,0.8101370851370852
178,2019-06-21 13:46:30.834753+00:00,svd,3,0.19444444444444442
178,2019-06-21 13:50:12.516156+00:00,svd,3,0.0
180,2019-06-21 14:21:55.484001+00:00,knni td,15,0.5933862433862434
180,2019-06-21 14:26:50.921842+00:00,knni td,3,0.1111111111111111
181,2019-06-21 14:54:20.938960+00:00,svd td,5,0.17333333333333334
183,2019-06-21 15:25:41.215353+00:00,knni mmr,9,0.11199294532627865
185,2019-06-21 16:23:14.360046+00:00,knnu,20,1.1795238095238094
185,2019-06-21 16:26:42.608863+00:00,knnu,20,0.7288095238095238
185,2019-06-21 16:29:25.896926+00:00,knnu,20,1.0285515873015874
185,2019-06-21 16:33:28.460212+00:00,knnu,20,1.3010119047619049
186,2019-06-21 16:42:27.161651+00:00,knni,10,0.5580158730158731
186,2019-06-21 16:44:48.789495+00:00,knni,10,0.513452380952381
186,2019-06-21 16:46:58.019096+00:00,knni,9,0.33148148148148154
187,2019-06-21 16:42:04.511409+00:00,svd,20,1.2119047619047618
188,2019-06-21 16:40:40.954833+00:00,knnu td,2,0.0
189,2019-06-21 17:05:40.305538+00:00,knni td,8,0.35416666666666663
189,2019-06-21 17:13:22.624291+00:00,knni td,8,0.4406836219336219
190,2019-06-21 17:08:03.911181+00:00,svd td,7,0.29047619047619044
190,2019-06-21 17:11:58.938168+00:00,svd td,2,0.0
191,2019-06-21 17:15:58.250264+00:00,knnu mmr,6,0.16269841269841268
193,2019-06-21 19:26:51.378511+00:00,svd mmr,7,0.16241496598639454
196,2019-06-21 21:28:51.966542+00:00,svd,20,1.0991666666666666
196,2019-06-21 21:33:51.508729+00:00,svd,19,0.9230994152046783
197,2019-06-21 22:29:57.490950+00:00,knnu td,12,0.48888888888888893
197,2019-06-21 22:34:45.031771+00:00,knnu td,15,0.7512962962962964
198,2019-06-21 22:55:59.321281+00:00,knni td,7,0.3085034013605442
200,2019-06-23 01:36:57.186979+00:00,knnu mmr,5,0.04
201,2019-06-21 23:02:38.985855+00:00,knni mmr,9,0.1665784832451499
