d,algorithm,n_seeds,ndcg_mean,ndcg_std,ndcg_ci95_low,ndcg_ci95_high,gh_mean,gh_std,gh_ci95_low,gh_ci95_high
13,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
13,knni mmr,20,0.751,0.0,0.751,0.751,0.168,0.0,0.168,0.168
13,knni td,20,0.735,0.0,0.735,0.735,0.24,0.0,0.24,0.24
13,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
13,knnu mmr,20,0.65635,0.0015652475842498571,0.655664,0.657036,0.1669,0.0003077935056255462,0.1667651035484841,0.1670348964515159
13,knnu td,20,0.601,0.0,0.601,0.601,0.236,0.0,0.236,0.236
13,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
13,svd mmr,20,0.5853999999999999,0.0005026246899500379,0.5851797150171159,0.585620284982884,0.23000000000000004,0.0004588314677411214,0.22979890824299135,0.23020109175700873
13,svd td,20,0.737,0.0,0.737,0.737,0.256,0.0,0.256,0.256
14,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
14,knni mmr,20,0.7487999999999999,0.0004103913408340552,0.7486201380646454,0.7489798619353544,0.168,0.0,0.168,0.168
14,knni td,20,0.73,0.0,0.73,0.73,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
14,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
14,knnu mmr,20,0.6725000000000001,0.0030693733288049228,0.6711547878273397,0.6738452121726605,0.16720000000000002,0.00041039134083406065,0.1670201380646455,0.16737986193535453
14,knnu td,20,0.593,0.0,0.593,0.593,0.236,0.0,0.236,0.236
14,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
14,svd mmr,20,0.578,0.00032444284226152537,0.5778578066549784,0.5781421933450215,0.2313,0.0004701623459816269,0.23109394226664917,0.23150605773335084
14,svd td,20,0.728,0.0,0.728,0.728,0.255,0.0,0.255,0.255
15,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
15,knni mmr,20,0.74735,0.0004893604849295736,0.7471355283112783,0.7475644716887216,0.16705,0.000223606797749976,0.16695200000000002,0.167148
15,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
15,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
15,knnu mmr,20,0.693,0.0,0.693,0.693,0.16595,0.00022360679774997814,0.165852,0.16604799999999997
15,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
15,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
15,svd mmr,20,0.5814999999999999,0.0022360679774997894,0.5805199999999999,0.5824799999999999,0.2278,0.0004103913408340639,0.22762013806464548,0.22797986193535452
15,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
16,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
16,knni mmr,20,0.7582,0.0025256578090511396,0.7570930816604075,0.7593069183395925,0.169,0.0,0.169,0.169
16,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
16,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
16,knnu mmr,20,0.719,0.0,0.719,0.719,0.16905,0.00022360679774997453,0.16895200000000002,0.169148
16,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
16,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
16,svd mmr,20,0.592,0.0,0.592,0.592,0.22600000000000003,0.0,0.22600000000000003,0.22600000000000003
16,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
17,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
17,knni mmr,20,0.75805,0.00022360679774997394,0.757952,0.758148,0.167,0.0,0.167,0.167
17,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
17,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
17,knnu mmr,20,0.6953499999999999,0.0034377930497096042,0.6938433207654614,0.6968566792345384,0.1633,0.00047016234598162555,0.16309394226664917,0.16350605773335083
17,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
17,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
17,svd mmr,20,0.594,0.0,0.594,0.594,0.225,0.0,0.225,0.225
17,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
18,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
18,knni mmr,20,0.7804,0.001046296727561198,0.7799414402409374,0.7808585597590626,0.16485,0.0003663475485325231,0.1646894411077058,0.16501055889229418
18,knni td,20,0.713,0.0,0.713,0.713,0.23899999999999996,0.0,0.23899999999999996,0.23899999999999996
18,knnu,20,0.8379999999999999,0.0,0.8379999999999999,0.8379999999999999,0.23400000000000004,0.0,0.23400000000000004,0.23400000000000004
18,knnu mmr,20,0.71465,0.002621269278723372,0.7135011780862668,0.7157988219137332,0.1633,0.00047016234598162577,0.16309394226664917,0.16350605773335083
18,knnu td,20,0.591,0.0,0.591,0.591,0.236,0.0,0.236,0.236
18,svd,20,0.8,0.0,0.8,0.8,0.242,0.0,0.242,0.242
18,svd mmr,20,0.593,0.0,0.593,0.593,0.22600000000000003,0.0,0.22600000000000003,0.22600000000000003
18,svd td,20,0.726,0.0,0.726,0.726,0.255,0.0,0.255,0.255
19,knni,20,0.778,0.0,0.778,0.778,0.24100000000000002,0.0,0.24100000000000002,0.24100000000000002
