algorithm,alpha,tradeoff,NDCG@10,GH,dim_optimal
knni,0.0000,0.5000,0.7780,0.2410,13
knni,0.2500,0.3750,0.7780,0.2410,54
knni,0.5000,0.2500,0.7780,0.2410,54
knni,0.7500,0.1250,0.7780,0.2410,54
knni,1.0000,0.0000,0.7780,0.2410,54
knni mmr,0.0000,1.0000,0.7968,0.1611,25
knni mmr,0.2500,0.6488,0.7919,0.1541,52
knni mmr,0.5000,0.3913,0.7919,0.1541,52
knni mmr,0.7500,0.1339,0.7919,0.1541,52
knni mmr,1.0000,0.0000,0.7540,0.1520,76
knni td,0.0000,1.0000,0.7350,0.2400,13
knni td,0.2500,0.5795,0.7300,0.2390,14
knni td,0.5000,0.3864,0.7300,0.2390,14
knni td,0.7500,0.1932,0.7300,0.2390,14
knni td,1.0000,0.0000,0.7300,0.2390,14
knnu,0.0000,1.0000,0.8380,0.2340,54
knnu,0.2500,0.6250,0.8380,0.2340,54
knnu,0.5000,0.2500,0.8380,0.2340,54
knnu,0.7500,-0.1250,0.8380,0.2340,54
knnu,1.0000,-0.5000,0.8380,0.2340,13
knnu mmr,0.0000,1.0000,0.7214,0.1619,19
knnu mmr,0.2500,0.6449,0.7175,0.1550,41
knnu mmr,0.5000,0.3514,0.7070,0.1520,69
knnu mmr,0.7500,0.1586,0.6940,0.1500,78
knnu mmr,1.0000,0.0000,0.6940,0.1500,78
knnu td,0.0000,1.0000,0.6010,0.2360,13
knnu td,0.2500,0.6250,0.6010,0.2360,13
knnu td,0.5000,0.2500,0.6010,0.2360,13
knnu td,0.7500,-0.1250,0.6010,0.2360,13
knnu td,1.0000,-0.5000,0.6010,0.2360,13
svd,0.0000,0.5000,0.8000,0.2420,13
svd,0.2500,0.2500,0.8000,0.2420,13
svd,0.5000,0.0000,0.8000,0.2420,13
svd,0.7500,-0.2500,0.8000,0.2420,13
svd,1.0000,-0.5000,0.8000,0.2420,13
svd mmr,0.0000,1.0000,0.5974,0.2220,55
svd mmr,0.2500,0.7058,0.5974,0.2220,55
svd mmr,0.5000,0.4115,0.5974,0.2220,55
svd mmr,0.7500,0.1997,0.5930,0.2200,77
svd mmr,1.0000,0.0000,0.5930,0.2200,77
svd td,0.0000,1.0000,0.7370,0.2560,13
svd td,0.2500,0.5000,0.7370,0.2560,13
svd td,0.5000,0.0909,0.7280,0.2550,14
svd td,0.7500,0.0455,0.7280,0.2550,14
svd td,1.0000,0.0000,0.7280,0.2550,14
