representation,algorithm,mean_gh_cosine,median_gh_cosine,std_gh_cosine,n_lists
bin_features+bin_topics,knn_item_item,0.2511,0.2436,0.0294,206
bin_features+bin_topics,knn_item_item-mmr-diversification,0.141,0.1384,0.0199,71
bin_features+bin_topics,knn_item_item-topic-diversification,0.2381,0.2366,0.0286,70
bin_features+bin_topics,knn_user_user,0.2328,0.2306,0.0259,81
bin_features+bin_topics,knn_user_user-mmr-diversification,0.1453,0.1429,0.0253,48
bin_features+bin_topics,knn_user_user-topic-diversification,0.2354,0.2376,0.0304,99
bin_features+bin_topics,svd,0.2385,0.238,0.028,66
bin_features+bin_topics,svd-mmr-diversification,0.213,0.2111,0.021,56
bin_features+bin_topics,svd-topic-diversification,0.2545,0.2495,0.0296,78
ae_features+ae_topics,knn_item_item,0.2511,0.2436,0.0294,206
ae_features+ae_topics,knn_item_item-mmr-diversification,0.1647,0.1643,0.0177,71
ae_features+ae_topics,knn_item_item-topic-diversification,0.2343,0.236,0.0252,70
ae_features+ae_topics,knn_user_user,0.2328,0.2306,0.0259,81
ae_features+ae_topics,knn_user_user-mmr-diversification,0.1693,0.166,0.0216,48
ae_features+ae_topics,knn_user_user-topic-diversification,0.2371,0.2378,0.0316,99
ae_features+ae_topics,svd,0.2385,0.238,0.028,66
ae_features+ae_topics,svd-mmr-diversification,0.2523,0.2524,0.0263,56
ae_features+ae_topics,svd-topic-diversification,0.2554,0.2508,0.0283,78
ae_features+bin_topics,knn_item_item,0.2511,0.2436,0.0294,206
ae_features+bin_topics,knn_item_item-mmr-diversification,0.1647,0.1643,0.0177,71
ae_features+bin_topics,knn_item_item-topic-diversification,0.2381,0.2366,0.0286,70
ae_features+bin_topics,knn_user_user,0.2328,0.2306,0.0259,81
ae_features+bin_topics,knn_user_user-mmr-diversification,0.1693,0.166,0.0216,48
ae_features+bin_topics,knn_user_user-topic-diversification,0.2354,0.2376,0.0304,99
ae_features+bin_topics,svd,0.2385,0.238,0.028,66
ae_features+bin_topics,svd-mmr-diversification,0.2523,0.2524,0.0263,56
ae_features+bin_topics,svd-topic-diversification,0.2545,0.2495,0.0296,78
bin_features+ae_topics,knn_item_item,0.2511,0.2436,0.0294,206
bin_features+ae_topics,knn_item_item-mmr-diversification,0.141,0.1384,0.0199,71
bin_features+ae_topics,knn_item_item-topic-diversification,0.2343,0.236,0.0252,70
bin_features+ae_topics,knn_user_user,0.2328,0.2306,0.0259,81
bin_features+ae_topics,knn_user_user-mmr-diversification,0.1453,0.1429,0.0253,48
bin_features+ae_topics,knn_user_user-topic-diversification,0.2371,0.2378,0.0316,99
bin_features+ae_topics,svd,0.2385,0.238,0.028,66
bin_features+ae_topics,svd-mmr-diversification,0.213,0.2111,0.021,56
bin_features+ae_topics,svd-topic-diversification,0.2554,0.2508,0.0283,78
bin_features+bin_topics,knn_item_item,0.2511,0.2436,0.0294,206
bin_features+bin_topics,knn_item_item-mmr-diversification,0.141,0.1384,0.0199,71
bin_features+bin_topics,knn_item_item-topic-diversification,0.2381,0.2366,0.0286,70
bin_features+bin_topics,knn_user_user,0.2328,0.2306,0.0259,81
bin_features+bin_topics,knn_user_user-mmr-diversification,0.1453,0.1429,0.0253,48
bin_features+bin_topics,knn_user_user-topic-diversification,0.2354,0.2376,0.0304,99
bin_features+bin_topics,svd,0.2385,0.238,0.028,66
bin_features+bin_topics,svd-mmr-diversification,0.213,0.2111,0.021,56
bin_features+bin_topics,svd-topic-diversification,0.2545,0.2495,0.0296,78
