algorithm,alpha,tradeoff,NDCG@20,GH,dim_optimal
knni,0.0000,0.5000,0.7670,0.2410,13
knni,0.2500,0.2500,0.7670,0.2410,13
knni,0.5000,0.0000,0.7670,0.2410,13
knni,0.7500,-0.2500,0.7670,0.2410,13
knni,1.0000,-0.5000,0.7670,0.2410,13
knni mmr,0.0000,1.0000,0.7138,0.1538,53
knni mmr,0.2500,0.7212,0.7138,0.1538,53
knni mmr,0.5000,0.4424,0.7138,0.1538,53
knni mmr,0.7500,0.1636,0.7138,0.1538,53
knni mmr,1.0000,0.0000,0.6750,0.1520,78
knni td,0.0000,1.0000,0.7290,0.2390,18
knni td,0.2500,0.7500,0.7290,0.2390,18
knni td,0.5000,0.5000,0.7290,0.2390,18
knni td,0.7500,0.2500,0.7290,0.2390,18
knni td,1.0000,0.0000,0.7290,0.2390,18
knnu,0.0000,0.5000,0.8220,0.2340,13
knnu,0.2500,0.2500,0.8220,0.2340,13
knnu,0.5000,0.0000,0.8220,0.2340,13
knnu,0.7500,-0.2500,0.8220,0.2340,13
knnu,1.0000,-0.5000,0.8220,0.2340,13
knnu mmr,0.0000,1.0000,0.6710,0.1510,83
knnu mmr,0.2500,0.7382,0.6700,0.1500,78
knnu mmr,0.5000,0.4922,0.6700,0.1500,78
knnu mmr,0.7500,0.2461,0.6700,0.1500,78
knnu mmr,1.0000,0.0000,0.6700,0.1500,78
knnu td,0.0000,1.0000,0.6090,0.2360,13
knnu td,0.2500,0.6250,0.6090,0.2360,13
knnu td,0.5000,0.2500,0.6090,0.2360,13
knnu td,0.7500,-0.1250,0.6090,0.2360,13
knnu td,1.0000,-0.5000,0.6090,0.2360,13
svd,0.0000,0.5000,0.7770,0.2420,13
svd,0.2500,0.2500,0.7770,0.2420,13
svd,0.5000,0.0000,0.7770,0.2420,13
svd,0.7500,-0.2500,0.7770,0.2420,13
svd,1.0000,-0.5000,0.7770,0.2420,13
svd mmr,0.0000,1.0000,0.5860,0.2261,18
svd mmr,0.2500,0.6150,0.5860,0.2261,18
svd mmr,0.5000,0.2647,0.5830,0.2220,68
svd mmr,0.7500,0.0985,0.5810,0.2210,78
svd mmr,1.0000,0.0000,0.5800,0.2210,73
svd td,0.0000,0.5000,0.6850,0.2560,13
svd td,0.2500,0.3750,0.6850,0.2550,18
svd td,0.5000,0.2500,0.6850,0.2550,18
svd td,0.7500,0.1250,0.6850,0.2550,18
svd td,1.0000,0.0000,0.6850,0.2550,18
