algorithm,alpha,tradeoff,NDCG@20,GH,dim_optimal
knni,0.0000,0.5000,0.7670,0.2410,13
knni,0.2500,0.2500,0.7670,0.2410,13
knni,0.5000,0.0000,0.7670,0.2410,13
knni,0.7500,-0.2500,0.7670,0.2410,13
knni,1.0000,-0.5000,0.7670,0.2410,13
knni mmr,0.0000,1.0000,0.7212,0.1546,52
knni mmr,0.2500,0.7112,0.7212,0.1546,52
knni mmr,0.5000,0.4225,0.7212,0.1546,52
knni mmr,0.7500,0.1423,0.7132,0.1535,54
knni mmr,1.0000,0.0000,0.6740,0.1520,76
knni td,0.0000,1.0000,0.7330,0.2390,14
knni td,0.2500,0.7500,0.7330,0.2390,14
knni td,0.5000,0.5000,0.7330,0.2390,14
knni td,0.7500,0.2500,0.7330,0.2390,14
knni td,1.0000,0.0000,0.7330,0.2390,14
knnu,0.0000,0.5000,0.8220,0.2340,13
knnu,0.2500,0.2500,0.8220,0.2340,13
knnu,0.5000,0.0000,0.8220,0.2340,13
knnu,0.7500,-0.2500,0.8220,0.2340,13
knnu,1.0000,-0.5000,0.8220,0.2340,13
knnu mmr,0.0000,1.0000,0.6710,0.1510,77
knnu mmr,0.2500,0.7382,0.6700,0.1500,78
knnu mmr,0.5000,0.4922,0.6700,0.1500,78
knnu mmr,0.7500,0.2461,0.6700,0.1500,78
knnu mmr,1.0000,0.0000,0.6700,0.1500,78
knnu td,0.0000,1.0000,0.6090,0.2360,13
knnu td,0.2500,0.6250,0.6090,0.2360,13
knnu td,0.5000,0.2500,0.6090,0.2360,13
knnu td,0.7500,-0.1250,0.6090,0.2360,13
knnu td,1.0000,-0.5000,0.6090,0.2360,13
svd,0.0000,0.5000,0.7770,0.2420,13
svd,0.2500,0.2500,0.7770,0.2420,13
svd,0.5000,0.0000,0.7770,0.2420,13
svd,0.7500,-0.2500,0.7770,0.2420,13
svd,1.0000,-0.5000,0.7770,0.2420,13
svd mmr,0.0000,1.0000,0.5874,0.2243,20
svd mmr,0.2500,0.6449,0.5874,0.2243,20
svd mmr,0.5000,0.2899,0.5874,0.2243,20
svd mmr,0.7500,0.0943,0.5800,0.2200,77
svd mmr,1.0000,0.0000,0.5800,0.2200,77
svd td,0.0000,1.0000,0.6850,0.2560,13
svd td,0.2500,0.7500,0.6850,0.2550,15
svd td,0.5000,0.5000,0.6850,0.2550,15
svd td,0.7500,0.2500,0.6850,0.2550,15
svd td,1.0000,0.0000,0.6780,0.2550,14
