algorithm,alpha,tradeoff,NDCG@15,GH,dim_optimal
knni,0.0000,0.5000,0.7730,0.2410,13
knni,0.2500,0.2500,0.7730,0.2410,13
knni,0.5000,0.0000,0.7730,0.2410,13
knni,0.7500,-0.2500,0.7730,0.2410,13
knni,1.0000,-0.5000,0.7730,0.2410,13
knni mmr,0.0000,1.0000,0.7349,0.1531,53
knni mmr,0.2500,0.7328,0.7349,0.1531,53
knni mmr,0.5000,0.4656,0.7349,0.1531,53
knni mmr,0.7500,0.1984,0.7349,0.1531,53
knni mmr,1.0000,0.0000,0.7160,0.1520,83
knni td,0.0000,1.0000,0.7310,0.2390,23
knni td,0.2500,0.7500,0.7310,0.2390,23
knni td,0.5000,0.5000,0.7310,0.2390,23
knni td,0.7500,0.2500,0.7310,0.2390,23
knni td,1.0000,0.0000,0.7310,0.2390,23
knnu,0.0000,0.5000,0.8340,0.2340,13
knnu,0.2500,0.2500,0.8340,0.2340,13
knnu,0.5000,0.0000,0.8340,0.2340,13
knnu,0.7500,-0.2500,0.8340,0.2340,13
knnu,1.0000,-0.5000,0.8340,0.2340,13
knnu mmr,0.0000,1.0000,0.6960,0.1510,83
knnu mmr,0.2500,0.7500,0.6960,0.1510,83
knnu mmr,0.5000,0.5000,0.6960,0.1510,83
knnu mmr,0.7500,0.2500,0.6960,0.1510,83
knnu mmr,1.0000,0.0000,0.6740,0.1510,73
knnu td,0.0000,1.0000,0.6030,0.2360,13
knnu td,0.2500,0.6250,0.6030,0.2360,13
knnu td,0.5000,0.2500,0.6030,0.2360,13
knnu td,0.7500,-0.1250,0.6030,0.2360,13
knnu td,1.0000,-0.5000,0.6030,0.2360,13
svd,0.0000,0.5000,0.7770,0.2420,13
svd,0.2500,0.2500,0.7770,0.2420,13
svd,0.5000,0.0000,0.7770,0.2420,13
svd,0.7500,-0.2500,0.7770,0.2420,13
svd,1.0000,-0.5000,0.7770,0.2420,13
svd mmr,0.0000,1.0000,0.5960,0.2210,63
svd mmr,0.2500,0.7500,0.5960,0.2210,63
svd mmr,0.5000,0.5000,0.5960,0.2210,63
svd mmr,0.7500,0.2500,0.5960,0.2210,63
svd mmr,1.0000,0.0000,0.5960,0.2210,63
svd td,0.0000,1.0000,0.7120,0.2560,13
svd td,0.2500,0.5000,0.7120,0.2560,13
svd td,0.5000,0.0000,0.7120,0.2560,13
svd td,0.7500,0.0000,0.7110,0.2550,23
svd td,1.0000,0.0000,0.7110,0.2550,23
